Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
Armenian4 122.948 420.946 117.747 9.074 4.845 151.424 261.432 68.547 10.627 134.628 125.681 16.639 87.699 14.161 78.653 14.816 17.289 259.17 67.2 46.36 37.237 55.663 27.509 7.702 186.29 190.715 21.75 139.85 1.94 60.41 18.275 80.678 13.716 141.644 31.714 45.367 76.422 45.345 50.112 104.528 110.671 25.435 13.534 135.23 77.388 117.08 15.896 51.462 6.091 18.094 16.047 18.959 97.919 103.673 3.549 12.716 83.204 125.083 100.931 16.205 271.002 26.29 124.696 26.446 140.811 98.49 176.304 32.891 2.026 31.183 180.088 48.311 38.96 14.081 111.249 119.531 205.248 13.193 103.063 17.608 15.551 58.321 128.683 49.905 43.236 35.645 63.478 21.191 60.442 18.579 63.926 14.67 16.395
Armenian5 134.299 126.256 115.895 6.975 4.267 169.5 238.451 100.409 10.588 161.05 107.141 18.691 119.528 13.498 76.516 15.999 16.113 241.85 66.67 44.139 43.207 46.203 26.933 11.332 213.508 157.515 26.662 140.359 1.692 60.42 17.886 83.615 15.506 174.512 29.812 38.675 79.369 47.528 47.991 101.965 107.639 27.693 12.984 118.787 115.581 111.772 13.911 55.373 6.737 18.637 14.457 22.046 100.234 94.68 4.121 11.726 79.522 159.025 120.426 16.159 254.928 30.587 110.93 31.405 187.26 105.336 284.303 32.609 2.201 34.52 178.755 45.788 46.301 15.451 104.004 117.123 234.477 14.829 88.961 20.049 14.928 53.613 109.418 51.173 40.765 38.21 69.902 29.43 57.586 20.498 73.624 13.597 15.156
Armenian6 132.863 164.924 128.883 10.178 5.096 147.392 293.117 41.973 12.033 120.587 127.858 19.155 86.86 13.121 87.49 17.674 17.208 300.162 57.592 52.527 32.074 58.789 35.372 5.247 181.159 181.127 21.512 142.014 2.138 68.652 19.645 88.235 13.335 122.169 33.225 44.672 95.914 45.085 53.645 124.135 129.913 27.328 14.539 145.684 55.403 134.226 19.247 53.3 7.504 20.386 17.842 20.677 114.205 115.559 3.841 13.591 78.485 119.022 95.741 19.057 306.242 30.795 122.841 29.299 100.095 84.617 145.828 39.265 2.193 39.428 186.229 65.804 32.394 17.764 120.125 130.493 231.308 14.553 109.049 22.028 17.215 60.745 127.744 56.733 47.937 41.192 69.824 19.273 67.648 18.131 59.61 16.27 17.796
Armenian7 140.322 399.454 124.849 10.043 4.867 158.573 268.88 46.833 11.586 108.845 129.234 17.457 79.003 12.641 78.36 15.612 16.667 284.499 72.729 56.403 30.893 53.59 32.122 6.205 170.173 197.82 18.862 135.882 1.961 60.936 18.152 86.019 13.714 108.43 37.978 49.064 80.325 39.634 49.373 127.791 115.12 23.527 11.417 139.313 58.632 125.628 17.708 47.546 6.862 20.372 15.857 18.651 103.884 112.984 3.844 13.581 75.232 113.466 90.276 16.663 306.132 29.601 123.511 26.194 98.296 82.408 140.141 37.816 2.29 31.785 188.407 60.474 27.72 14.966 129.66 132.533 207.937 12.741 114.777 19.2 15.318 55.19 128.881 50.935 52.106 35.518 64.355 19.738 63.407 17.796 60.015 16.398 15.901
Armenian8 133.063 143.193 124.302 10.783 5.677 141.681 306.762 43.004 14.311 122.496 134.19 18.964 71.187 12.594 88.493 16.427 17.986 320.063 63.443 57.335 39.263 60.038 33.29 6.318 188.524 175.404 19.533 141.821 3.741 64.021 17.861 89.861 13.687 118.664 42.406 45.565 96.562 39.309 52.386 129.572 127.199 27.117 13.388 148.649 57.745 130.462 17.904 50.556 8.314 21.047 16.499 20.753 106.32 117.219 4.662 14.276 83.809 102.081 83.058 16.257 314.706 31.243 135.865 29.4 90.566 89.544 136.955 44.902 2.379 36.159 194.842 65.813 34.776 16.536 122.161 124.042 221.802 13.203 120.25 20.517 17.693 56.081 127.619 56.036 53.408 36.234 74.921 19.709 64.853 17.174 57.918 19.71 17.787
Armenian9 154.558 505.471 121.246 8.659 4.714 146.517 265.354 49.868 12.234 110.844 120.263 18.882 73.966 12.166 86.159 15.998 16.369 293.6 61.105 53.471 36.165 56.861 30.916 5.164 176.644 209.306 15.884 130.07 1.872 61.134 15.342 88.306 13.717 106.518 32.875 41.819 77.906 42.348 50.918 114.903 119.136 25.728 11.778 134.868 47.762 136.376 17.567 47.274 6.685 17.768 15.136 21.487 100.512 108.326 3.65 13.039 73.864 103.914 86.718 15.691 306.854 29.941 113.56 26.013 101.028 81.673 147.845 33.96 1.983 32.381 174.229 56.778 30.07 17.573 115.846 116.387 207.52 12.291 107.541 18.694 16.791 51.177 127.832 45.642 48.775 37.701 71.043 18.96 63.443 16.555 59.56 13.866 17.415
Armenian10 109.23 267.691 90.911 7.052 4.095 163.979 186.7 119.53 10.074 177.898 98.846 14.287 147.787 12.901 62.893 13.346 21.094 207.409 59.61 36.471 47.052 38.196 19.864 14.437 233.968 134.056 30.623 158.657 1.516 56.174 16.269 77.164 14.322 193.367 24.275 39.183 70.219 55.28 47.467 80.03 98.013 24.548 10.699 111.972 150.405 90.471 12.856 49.629 6.009 14.029 13.624 21.55 93.809 97.131 2.779 11.521 93.173 178.172 131.552 17.596 208.821 26.076 100.155 27.475 233.424 104.234 348.288 24.519 1.97 33.445 188.346 36.016 40.004 15.498 93.459 117.688 247.696 14.432 79.402 18.222 15.13 42.19 86.679 48.578 34.728 37.924 64.89 33.063 63.325 19.501 79.281 10.352 15.55
Armenian11 137.195 398.037 122.56 8.373 4.996 147.687 268.253 41.207 12.279 120.381 114.881 18.169 73.935 14.345 84.166 14.98 17.487 302.387 66.203 54.28 32.92 59.287 30.894 6.931 171.343 208.787 19.055 151.091 2.407 63.227 16.171 85.575 13.864 112.725 39.322 45.296 84.546 37.104 49.924 115.79 110.805 26.952 12.016 152.276 53.174 128.416 18.227 51.248 6.525 17.382 16.171 19.411 100.496 118.954 3.447 12.86 74.273 107.59 88.314 15.281 298.632 29.567 120.57 27.551 95.023 86.865 147.474 38.015 2.351 32.007 181.134 55.265 32.282 15.397 119.553 126.558 214.199 14.137 100.257 18.738 17.717 56.481 135.503 50.937 59.979 35.098 63.793 18.218 65.651 17.193 55.965 17.391 16.635
Armenian12 129.969 134.658 132.703 11.472 6.717 140.792 292.488 42.87 13.526 118.584 129.604 18.235 79.605 13.436 83.578 17.414 19.624 306.11 71.733 49.73 34.83 57.634 31.38 7.009 178.608 174.565 19.804 147.596 1.933 60.552 17.172 95.917 16.873 119.849 38.865 49.112 101.247 38.928 52.783 116.372 128.801 27.618 13.621 147.227 51.694 136.514 18.734 58.659 7.727 16.88 16.58 19.176 112.359 118.161 3.369 14.285 76.292 109.028 88.555 18.138 313.977 30.888 123.132 30.327 98.749 83.471 149.513 40.481 2.71 37.798 196.385 69.575 37.051 17.703 132.275 139.697 214.159 15.295 111.994 19.859 18.114 59.833 125.89 57.839 57.27 43.518 71.545 20.359 67.068 17.45 60.53 16.928 18.292
Armenian13 132.778 176.194 126.573 9.257 5.602 159.001 293.191 42.279 13.652 125.276 128.143 18.276 83.743 14.081 98.654 16.449 17.897 311.163 67.506 56.955 32.507 55.535 34.072 8.111 188.354 203.467 23.75 142.169 2.131 61.85 20.802 83.249 14.511 122.621 36.978 42.822 85.121 38.921 50.248 129.321 122.769 26.937 12.355 144.645 51.498 132.238 17.166 49.405 7.095 19.069 16.85 19.557 110.888 114.392 3.617 13.47 71.669 111.804 87.342 16.259 317.965 32.725 128.723 24.465 90.721 81.443 139.674 40.072 2.537 38.379 190.684 69.965 37.104 16.179 122.245 130.702 212.104 13.162 105.484 19.523 17.189 62.553 130.627 55.648 54.039 40.339 69.178 17.678 67.633 20.395 57.997 16.609 17.567
